question,answer,topic,class_level
"Ma'am, what is the concept of atomic model, yeh kya hota hai?","Atomic model ki prakriya mein, parmanu ke androoni bhag ko samjhaya jaata hai, jismein proton, neutron, aur electron hote hain. Isse hamein pata chalta hai ki kaise parmanu ka nirmaan hota hai aur kaise yeh parmanu hamein duniya ke baare mein jankari dete hain.",Physics,10
"Sir, kya hum earth ke atmosphere meh rehte hai, toh phir space meh kya hoga?","Haan, hum earth ke atmosphere meh rehte hai, aur space meh vacuum hota hai jahaan oxygen ki kami hoti hai. Isliye space meh jaane ke liye humein special suits aur oxygen supply ki zarurat hoti hai.",Science,9
"Ma'am, kya ancient India meh koi mahila ruler thi?","Haan, ancient India meh kai mahila rulers thi, jaise ki Rani Lakshmibai, Rani Durgavati, aur Razia Sultan. Unhone apne samay meh bahut sahi prashasan kiya tha.",History,8
"Sir, kya hum biology meh mitosis aur meiosis ke beech antar samajh sakte hai?","Haan, mitosis aur meiosis dono cell division ki prakriya hai, lekin mitosis meh do identical cells banti hai, jabki meiosis meh four different cells banti hai. Meiosis gametes (sperm aur egg cells) ki formation meh hoti hai.",Biology,11
"Ma'am, kya hum earth ke axis ki inclination ke baare meh jaan sakte hai?","Haan, earth ki axis ki inclination lagbhag 23.5 degree hoti hai, jiske kaaran humein seasons ka anubhav hota hai. Is inclination ke kaaran hi humein summer, winter, autumn, aur spring milte hai.",Geography,9
"Sir, kya hum physics meh torque aur force ke beech antar samajh sakte hai?","Haan, force kisi object par lagne wali ek bal hoti hai, jabki torque force ki rotation ki wajah se hoti hai. Torque ki unit newton-meter hoti hai.",Physics,11
"Ma'am, kya hum chemistry meh acid aur base ke beech antar samajh sakte hai?","Haan, acid ek aisa substance hota hai jo hydrogen ions ko donate karta hai, jabki base ek aisa substance hota hai jo hydrogen ions ko accept karta hai. Acid aur base ke milne se salt aur water banta hai.",Chemistry,10
"Sir, kya hum geography meh plate tectonics ke baare meh jaan sakte hai?","Haan, plate tectonics earth ke crust ki movement ki theory hai, jiske anusaar earth ki satah par kai plates hoti hai jo lagatar move karti hai. In plates ki movement se earthquakes, volcanoes, aur mountain formation hoti hai.",Geography,9
"Ma'am, kya hum biology meh ecosystem ke baare meh jaan sakte hai?","Haan, ecosystem ek aisa system hota hai jismein living organisms aur non-living organisms milkar rehte hai, jaise ki plants, animals, microorganisms, air, water, aur soil. Ecosystem ki sanrachna aur karya bahut mahatvapoorn hota hai.",Biology,11
"Sir, kya hum physics meh electromagnetic induction ke baare meh jaan sakte hai?","Haan, electromagnetic induction ek aisa process hota hai jismein changing magnetic field se electric current generate hota hai. Is process ki khoj Michael Faraday ne ki thi.",Physics,12
"Ma'am, kya hum history meh ancient civilizations ke baare meh jaan sakte hai?","Haan, ancient civilizations jaise ki Mesopotamia, Egypt, Indus Valley, aur China ne bahut mahatvapoorn yogdan diya tha. Unhone apne samay meh bahut sahi prashasan, sanskriti, aur vigyan viksit kiya tha.",History,8
"Sir, kya hum chemistry meh chemical bonding ke baare meh jaan sakte hai?","Haan, chemical bonding ek aisa process hota hai jismein atoms apne electrons ko share karte hai ya exchange karte hai, jisse unke beech strong attractive forces banti hai. Chemical bonding ki types hain ionic, covalent, aur metallic bonding.",Chemistry,11
"Ma'am, kya hum geography meh natural resources ke baare meh jaan sakte hai?","Haan, natural resources jaise ki water, mineral, fossil fuels, aur forests bahut mahatvapoorn hoti hai. In resources ki upyogita aur sanrakshan bahut zaruri hai.",Geography,9
"Sir, kya hum physics meh optics ke baare meh jaan sakte hai?","Haan, optics light ki study hoti hai, jismein hum light ki nature, properties, aur behavior ko samajhte hai. Optics meh hum lenses, mirrors, aur prisms ke baare meh bhi jaante hai.",Physics,12
"Ma'am, kya hum biology meh biotechnology ke baare meh jaan sakte hai?","Haan, biotechnology ek aisa field hota hai jismein hum living organisms ko technology ke saath milkar new products aur processes develop karte hai. Biotechnology ki applications medicine, agriculture, aur industry meh hoti hai.",Biology,12
"Sir, kya hum chemistry meh polymer ke baare meh jaan sakte hai?","Haan, polymer ek aisa substance hota hai jismein kai small molecules milkar ek bada molecule banate hai. Polymers ki properties unke molecular structure par nirbhar karti hai.",Chemistry,11
"Ma'am, kya hum geography meh climate change ke baare meh jaan sakte hai?","Haan, climate change ek aisa process hota hai jismein earth ki average temperature badalti hai, jiske kaaran human activities jaise ki greenhouse gas emissions hoti hai. Climate change ke prabhav bahut gambhir ho sakte hai, jaise ki sea level rise, droughts, aur extreme weather events.",Geography,10
"Sir, kya hum physics meh relativity ke baare meh jaan sakte hai?","Haan, relativity ek aisa theory hota hai jismein hum space aur time ki nature ko samajhte hai, jiske anusaar time aur space relative hoti hai. Relativity ki do theories hain, special relativity aur general relativity.",Physics,12
"Ma'am, kya hum history meh world war ke baare meh jaan sakte hai?","Haan, world war ek aisa conflict hota hai jismein kai desh shamil hote hai, jiske kaaran bahut saare logon ki maut hoti hai aur economy bhi prabhavit hoti hai. World war ke do bade conflicts hain, world war 1 aur world war 2.",History,10
"Sir, kya hum chemistry meh organic chemistry ke baare meh jaan sakte hai?","Haan, organic chemistry ek aisa branch hota hai jismein hum carbon-based compounds ki study karte hai, jaise ki hydrocarbons, alcohols, aur acids. Organic chemistry ki applications medicine, agriculture, aur industry meh hoti hai.",Chemistry,12
"Ma'am, kya hum biology meh genetics ke baare meh jaan sakte hai?","Haan, genetics ek aisa field hota hai jismein hum heredity aur variation ki study karte hai, jiske anusaar hum organisms ke characteristics ko samajhte hai. Genetics ki applications medicine, agriculture, aur biotechnology meh hoti hai.",Biology,12
"Sir, plate tectonics ke bare mein batayein, yeh kya hota hai?","Plate tectonics prithvi ki satah par chalne wale plateon ke movement ko describe karta hai, jo ki earthquakes, volcanoes aur mountain formation ke liye jimmedar hote hain. Ye process arbon years se chal raha hai aur abi bhi jaari hai.",Geography,9
"Ma'am, cell membrane ke functions batayein, yeh kya karta hai?","Cell membrane cell ko protect karta hai, nutrients ko andar aur waste ko bahar nikalta hai, aur cell ke andar aur bahar ke environment ko control karta hai. Ye ek semi-permeable membrane hoti hai jo selective permeability ko allow karti hai.",Biology,10
"Sir, mitosis ke dauraan kya hota hai, iske steps batayein?","Mitosis ke dauraan cell divide hota hai aur do identical daughter cells banate hai. Ismein interphase, prophase, metaphase, anaphase, aur telophase stages hote hain, jismein chromosomes divide hote hain aur nuclei banate hain.",Biology,11
"Ma'am, Newton ke third law of motion ke bare mein batayein?","Newton ka third law of motion kehta hai ki har action ke liye ek equal aur opposite reaction hoti hai. Yah law hamein batata hai ki jab hum kisi cheez par force lagate hain, to vah bhi hum par equal force lagati hai.",Physics,10
"Sir, Indian constitution ke bare mein batayein, yeh kab banaya gaya tha?","Indian constitution 26 November 1949 ko banaya gaya tha, lekin yeh 26 January 1950 ko lagu hua tha. Ismein 22 parts, 395 articles, aur 8 schedules hain, jo ki India ke shasan aur nagrikon ke adhikaron ko define karte hain.",GK,12
"Ma'am, photosynthesis ke process ke bare mein batayein?","Photosynthesis ek process hai jismein paudhe sunlight, carbon dioxide, aur water ka use karke glucose aur oxygen banate hain. Ye process chlorophyll ki presence mein hota hai, jo ki paudhon ke patton mein paya jata hai.",Biology,11
"Sir, monsoon ke bare mein batayein, yeh kya hota hai?","Monsoon ek seasonal wind pattern hai jo ki India mein garmiyon ke dauraan hota hai. Ye wind pattern India ko garm aur humid air laate hain, jisse ki monsoon ke dauraan barish hoti hai.",Geography,9
"Ma'am, cell cycle ke bare mein batayein, yeh kya hota hai?","Cell cycle ek process hai jismein cell grow, replicate, aur divide hota hai. Ismein interphase, mitosis, aur cytokinesis stages hote hain, jismein cell apne DNA ko replicate karta hai aur do identical daughter cells banata hai.",Biology,11
"Sir, acid rain ke bare mein batayein, yeh kya hota hai?","Acid rain ek prakar ki barish hai jo ki industrial pollution ke karan hoti hai. Ye barish mein acid ki presence ke karan hoti hai, jo ki paudhon, jeevon, aur infrastructure ko nuksan pahuncha sakti hai.",Environmental Science,10
"Ma'am, Mendel ke laws of inheritance ke bare mein batayein?","Mendel ke laws of inheritance kehte hain ki genes ki inheritance ek specific pattern mein hoti hai. Ye laws kehte hain ki genes ki traits dominant aur recessive hote hain, aur ve specific ratios mein inherit hote hain.",Biology,12
"Sir, black hole ke bare mein batayein, yeh kya hota hai?","Black hole ek prakar ka khula hua khala hai jo ki universe mein hota hai. Ye ek bahut hi dense aur heavy object hai, jiska gravitational pull itna strong hota hai ki koi bhi cheez, chahe wo light ho ya matter, usmein se bahar nahi nikal sakti.",Physics,12
"Ma'am, water cycle ke bare mein batayein, yeh kya hota hai?","Water cycle ek process hai jismein paani earth ke beech mein cycle hota hai. Ye process mein evaporation, condensation, aur precipitation shamil hain, jismein paani vapor mein badalta hai, clouds mein condense hota hai, aur phir barish ya snow ke roop mein earth par girta hai.",Geography,9
"Sir, DNA replication ke process ke bare mein batayein?","DNA replication ek process hai jismein DNA apne aap ko replicate karta hai. Ye process mein helicase enzyme DNA ko unwind karta hai, aur phir polymerase enzyme nucleotides ko jodta hai aur ek naya DNA strand banata hai.",Biology,12
"Ma'am, ecosystem ke bare mein batayein, yeh kya hota hai?","Ecosystem ek prakar ka system hai jismein jeev aur unke environment ke beech mein interaction hota hai. Ye system mein producers, consumers, aur decomposers shamil hote hain, jo ki ek dusre par nirbhar hote hain aur ek balance maintain karte hain.",Biology,11
"Sir, tsunamis ke bare mein batayein, yeh kya hota hai?","Tsunami ek prakar ki natural disaster hai jo ki samudra mein hoti hai. Ye ek bahut hi badi wave hai jo ki earthquake ya volcanic eruption ke karan hoti hai, aur jo ki coastal areas ko nuksan pahuncha sakti hai.",Geography,10
"Ma'am, gene expression ke bare mein batayein, yeh kya hota hai?","Gene expression ek process hai jismein genes apne proteins ko banate hain. Ye process mein transcription, translation, aur regulation shamil hain, jismein genes apne mRNA ko banate hain, jo ki ribosomes mein jata hai aur proteins ko banata hai.",Biology,12
"Sir, biodiversity ke bare mein batayein, yeh kya hota hai?","Biodiversity ek prakar ki variety hai jo ki jeevon mein hoti hai. Ye variety mein species, ecosystem, aur genetic diversity shamil hote hain, jo ki ek dusre par nirbhar hote hain aur ek balance maintain karte hain.",Biology,11
"Ma'am, weathering ke bare mein batayein, yeh kya hota hai?","Weathering ek prakar ki process hai jo ki rocks ko break down karti hai. Ye process mein mechanical weathering, chemical weathering, aur biological weathering shamil hote hain, jo ki rocks ko break down karte hain aur unhein sediment mein badal dete hain.",Geography,9
"Sir, climate change ke bare mein batayein, yeh kya hota hai?","Climate change ek prakar ki process hai jo ki earth ke climate ko badal rahi hai. Ye process mein global warming, sea level rise, aur extreme weather events shamil hote hain, jo ki human activities ke karan ho rahe hain aur jinke karan earth ka climate badal raha hai.",Environmental Science,10
"Ma'am, human body ke skeletal system ke bare mein batayein, yeh kya hota hai?","Human body ke skeletal system ek prakar ka system hai jo ki human body ko support karta hai. Ye system mein bones, cartilage, aur ligaments shamil hote hain, jo ki human body ko shape dete hain, support karte hain, aur movement ko enable karte hain.",Biology,11
"Sir, what is yakhchal in geography, kya ye koi river hai?","Nahi, yakhchal ek tarah ka traditional ice house hai jo Iran me paya jata hai, jahaan log ice store karte the.",Geography,11
"Ma'am, binary fission kya hota hai, isme kitne daughter cells bante hain?","Binary fission ek aisa process hai jisme ek cell do daughter cells me divide hoti hai, isme 2 daughter cells banti hain.",Biology,10
"Sir, kinetic energy ka formula kya hai, hum isse kaise calculate karte hain?","Kinetic energy ka formula 1/2 mv^2 hai, jahaan m mass aur v velocity hoti hai, hum isse is formula se calculate karte hain.",Physics,11
"Ma'am, Tansen kaun the, unka contribution music me kya tha?","Tansen ek prasiddh musician the, unka contribution music me bahut bada tha, unhone many ragas compose kiye aur unhe Bharat me sangeet ki sthapna me mahatvapurna maana jata hai.",History,9
"Sir, what is an ecosystem, kya ye koi living thing hai?","Nahi, ecosystem ek tarah ka biological community hai jisme living aur non-living components interact karte hain, jaise ki plants, animals, soil, air, aur water.",Science,12
"Ma'am, kya hum apne ghar me soap banaye aur kaise?","Haan, hum apne ghar me soap banaye, isme oil, lye, aur water ka use hota hai, hum isse carefully mix karke aur shape dekar banate hain.",Chemistry,10
"Sir, kya humne Chandrayaan mission ke baare me padha tha, isme kaun se instruments use hue?","Haan, humne Chandrayaan mission ke baare me padha tha, isme many instruments use hue jaise ki terrain mapping camera, lunar laser ranging instrument, aur X-ray spectrometer.",GK,12
"Ma'am, mitosis kya hota hai, isme kitne phases hote hain?","Mitosis ek tarah ka cell division process hai, isme 4 phases hote hain - prophase, metaphase, anaphase, aur telophase.",Biology,11
"Sir, kya hum apne ghar me paper banaye aur kaise?","Haan, hum apne ghar me paper banaye, isme pulp, water, aur some chemicals ka use hota hai, hum isse carefully mix karke aur press karke banate hain.",Chemistry,10
"Ma'am, what is a sedimentary rock, kya ye koi igneous rock hai?","Nahi, sedimentary rock ek tarah ka rock hai jo sediments se banta hai, jaise ki sand, silt, aur clay, ye rocks compression aur cementation se banate hain.",Geography,9
"Sir, kya humne Aryabhata ke baare me padha tha, unka contribution mathematics me kya tha?","Haan, humne Aryabhata ke baare me padha tha, unka contribution mathematics me bahut bada tha, unhone pi ka value calculate kiya aur many mathematical concepts develop kiye.",Math,10
"Ma'am, kya hum apne garden me compost banaye aur kaise?","Haan, hum apne garden me compost banaye, isme kitchen waste, leaves, aur some microorganisms ka use hota hai, hum isse carefully mix karke aur decompose karke banate hain.",Biology,9
"Sir, what is a mineral, kya ye koi rock hai?","Nahi, mineral ek tarah ka inorganic substance hai jo specific chemical composition aur crystalline structure ke saath hota hai, rocks minerals se bante hain.",Geography,11
"Ma'am, kya humne Rani Lakshmibai ke baare me padha tha, unka role freedom fight me kya tha?","Haan, humne Rani Lakshmibai ke baare me padha tha, unka role freedom fight me bahut bada tha, unhone Britishers ke khilaf ladai ladi aur apne desh ki azadi ke liye sangharsh kiya.",History,10
"Sir, kya hum apne ghar me detergent banaye aur kaise?","Haan, hum apne ghar me detergent banaye, isme surfactants, water, aur some chemicals ka use hota hai, hum isse carefully mix karke aur shape dekar banate hain.",Chemistry,11
"Ma'am, what is a food chain, kya ye koi ecosystem hai?","Nahi, food chain ek tarah ka sequence hai jisme producers se lekar consumers tak energy transfer hoti hai, ye ecosystem ka ek part hai.",Science,9
"Sir, kya humne Jagadish Chandra Bose ke baare me padha tha, unka contribution science me kya tha?","Haan, humne Jagadish Chandra Bose ke baare me padha tha, unka contribution science me bahut bada tha, unhone many scientific experiments kiye aur plants ke baare me bahut kuch discover kiya.",GK,12
"Ma'am, kya hum apne ghar me fertilizer banaye aur kaise?","Haan, hum apne ghar me fertilizer banaye, isme kitchen waste, leaves, aur some microorganisms ka use hota hai, hum isse carefully mix karke aur decompose karke banate hain.",Biology,10
"Sir, what is a biome, kya ye koi ecosystem hai?","Nahi, biome ek tarah ka large ecosystem hai jo specific plants aur animals ke saath hota hai, jaise ki desert, forest, aur grassland.",Geography,11
"Ma'am, kya humne Kalpana Chawla ke baare me padha tha, unka contribution space science me kya tha?","Haan, humne Kalpana Chawla ke baare me padha tha, unka contribution space science me bahut bada tha, unhone NASA ke saath kaam kiya aur space me many missions complete ki.",GK,12
"Sir, what is difference between archipelago and island, hume samajh nahi aaya?","Archipelago ek samuh hai jo kayi chhote islands se bana hota hai, jaise ki Andaman aur Nicobar islands. Island ek akela bhaag hai jo paani se ghira hota hai. Isliye, archipelago mein kayi islands hote hain lekin island ek akela hota hai.",Geography,9
"Ma'am, kinetic energy ka formula kya hai aur iska use kahan hota hai?","Kinetic energy ka formula 0.5 * m * v^2 hai, jaha m massa hai aur v velocity hai. Iska use hume pata karne ke liye hota hai ki koi vastu kitni urja rakhti hai jab wo gati mein hoti hai.",Physics,11
"Sir, what is biodiversity hotspot, kya ye humare desh mein bhi hai?","Biodiversity hotspot woh jagah hai jahan bahut si alag-alag prajatiyan paayi jaati hain. Haan, humare desh mein bhi biodiversity hotspots hain, jaise ki Western Ghats aur Eastern Himalayas.",Biology,12
"Ma'am, kya hum apne ghar ke paani ko solar still se shuddh kar sakte hain?","Haan, hum apne ghar ke paani ko solar still se shuddh kar sakte hain. Solar still mein paani ko garm kiya jaata hai aur vaashp banaya jaata hai, jisse paani shuddh ho jaata hai.",Science,10
"Sir, kya tum mujhe bata sakte ho ki National Mission on Monsoon ki kya zaroorat thi?",National Mission on Monsoon ka uddeshya monsoon ki bhavishyavani ko behtar banana tha. Isse hume mausam ki bhavishyavani ke liye behtar data milta hai aur hume monsoon ke dauran hone wale nuksaan se bachne mein madad milti hai.,GK,12
"Ma'am, kya hum chemistry mein acid aur base ke bare mein padhenge?","Haan, hum chemistry mein acid aur base ke bare mein padhenge. Acid aur base ke gunon aur unke pratikriyaon ko samajhna humare liye bahut zaroori hai.",Chemistry,11
"Sir, kya tum mujhe bata sakte ho ki Prithvi ka sabse bada desert konsi hai?","Prithvi ka sabse bada desert Antarctic desert hai, jo lagbhag 14 million varg kilometer mein faila hua hai.",Geography,9
"Ma'am, kya hum biology mein ecosystem ke bare mein padhenge?","Haan, hum biology mein ecosystem ke bare mein padhenge. Ecosystem mein jeev aur njeev tatvon ke beech ki pratikriyaon ko samajhna humare liye bahut zaroori hai.",Biology,12
"Sir, what is difference between speed and velocity, dono mein kya antar hai?","Speed aur velocity dono gati se sambandhit hain, lekin speed mein sirf gati ki maatra hoti hai, jabki velocity mein gati ki maatra aur disha bhi hoti hai.",Physics,11
"Ma'am, kya hum apne ghar ke bagiche mein apna khud ka compost banaye?","Haan, hum apne ghar ke bagiche mein apna khud ka compost banaye. Compost banane ke liye hume kitchen ke kachre aur pattiyon ka upyog karna hota hai, jisse hume mitti ko urvarak banana mein madad milti hai.",Science,10
"Sir, kya tum mujhe bata sakte ho ki India ke sabse ucha pahaad kaun sa hai?","India ka sabse ucha pahaad Mount K2 hai, jo Kargil mein sthit hai. Lekin agar hum Mount Everest ki baat karein, jo ki duniya ka sabse ucha pahaad hai, to wo Nepal mein sthit hai.",Geography,9
"Ma'am, kya hum history mein Mughal saamrajya ke bare mein padhenge?","Haan, hum history mein Mughal saamrajya ke bare mein padhenge. Mughal saamrajya ka itihas bahut hi samriddh hai aur hume iske baare mein padhne se bahut kuch seekhne ko milta hai.",History,11
"Sir, kya tum mujhe bata sakte ho ki National Water Mission ka uddeshya kya hai?",National Water Mission ka uddeshya paani ki bachat aur uske durupyog ko rokna hai. Iske liye hume paani ki sanrakshan ke liye kai kadam uthane hote hain.,GK,12
"Ma'am, kya hum chemistry mein chemical reaction ke bare mein padhenge?","Haan, hum chemistry mein chemical reaction ke bare mein padhenge. Chemical reaction mein padarthon ke beech ki pratikriyaon ko samajhna humare liye bahut zaroori hai.",Chemistry,11
"Sir, kya tum mujhe bata sakte ho ki India ke sabse bade jungle kaun se hain?","India ke sabse bade jungle Amazon jungle nahi hain, kyunki Amazon jungle South America mein hain. India ke sabse bade jungle Western Ghats aur Eastern Himalayas hain.",Geography,9
"Ma'am, kya hum biology mein cell ke bare mein padhenge?","Haan, hum biology mein cell ke bare mein padhenge. Cell jeevon ke moolbhoot ghatak hain aur unke bare mein padhna humare liye bahut zaroori hai.",Biology,12
"Sir, what is difference between producers and consumers, dono mein kya antar hai?","Producers woh jeev hote hain jo apna khana khud banate hain, jaise ki paudhe. Consumers woh jeev hote hain jo doosron ke banaaye hue khane ko khate hain, jaise ki janwar.",Biology,10
"Ma'am, kya hum apne ghar ke paani ko reverse osmosis se shuddh kar sakte hain?","Haan, hum apne ghar ke paani ko reverse osmosis se shuddh kar sakte hain. Reverse osmosis mein paani ko ek patle membrane se guzara jaata hai, jisse paani shuddh ho jaata hai.",Science,10
"Sir, kya tum mujhe bata sakte ho ki National Disaster Management Authority ka uddeshya kya hai?","National Disaster Management Authority ka uddeshya apdaon ke dauran madad aur sahara pradaan karna hai. Iske liye hume apdaon ke dauran kya karna hai, iske liye kai kadam uthane hote hain.",GK,12
"Ma'am, kya hum history mein Indus Valley Civilization ke bare mein padhenge?","Haan, hum history mein Indus Valley Civilization ke bare mein padhenge. Indus Valley Civilization ka itihas bahut hi purana hai aur hume iske baare mein padhne se bahut kuch seekhne ko milta hai.",History,11
"Sir, what is seismology aur ismein hum kya seekhte hain?",Seismology ek aisa vishay hai jismein hum bhukamp aur earthquake ke baare mein padhte hain. Ismein hum yeh jaante hain ki bhukamp kaise aate hain aur unke prabhav ko kaise kam kiya ja sakta hai.,Geography,11
"Ma'am, kinetic energy ka kya formula hota hai?","Kinetic energy ka formula 0.5 mv^2 hota hai, jahan m mass hota hai aur v velocity hoti hai. Isse hum kisi bhi cheez ki gati aur bhari ko dekhte hain.",Physics,10
"Sir, what is ecosystem aur iske kitne prakaar hote hain?","Ecosystem ek aisa system hai jismein jeev aur nirjeev tatva ek saath rehte hain. Iske teen prakaar hote hain - terrestrial, freshwater, aur marine ecosystem.",Biology,12
"Ma'am, Aryabhatta ne kya mahatvapoorn yogdan diya tha?","Aryabhatta ne bahut se mahatvapoorn yogdan diye, jaise ki dhruvon ki khoj aur zero ka avishkar. Unhonein apni kitab Aryabhatiya mein bahut se mahatvapoorn siddhanton ka varnan kiya tha.",History,9
"Sir, mitosis aur meiosis mein kya antar hota hai?","Mitosis aur meiosis dono cell division ke prakaar hain, lekin mitosis mein do identical cells banti hain jabki meiosis mein chau identical cells banti hain. Meiosis ke dauraan genetic variation hoti hai.",Biology,11
"Ma'am, chemical bonding kya hota hai?",Chemical bonding ek aisa prakriya hai jismein do ya do se adhik atoms ek saath judte hain aur ek molecule banate hain. Ismein electron ke share hone ya exchange hone se bonding hoti hai.,Chemistry,10
"Sir, what is plate tectonics theory?",Plate tectonics theory ek aisi theory hai jismein hum dharti ke saath chalne wale Patton ke bare mein padhte hain. Ismein hum yeh jaante hain ki ye Patton kaise chalte hain aur unke prabhav ko kaise dekhte hain.,Geography,12
"Ma'am, photosynthesis kya hota hai?","Photosynthesis ek aisa prakriya hai jismein paudhe surya ki roshni, carbon dioxide, aur paani ka upyog karke glucose aur oxygen banate hain. Yeh prakriya paudhon ke liye bahut mahatvapoorn hai.",Biology,10
"Sir, what is economic geography?",Economic geography ek aisa vishay hai jismein hum dharti ke saath chalne wale arthik gatividhiyon ke bare mein padhte hain. Ismein hum yeh jaante hain ki kaise arthik gatividhiyan dharti par prabhav daalti hain.,Geography,11
"Ma'am, rational numbers kya hote hain?","Rational numbers woh numbers hote hain jo p/q ke roop mein likhe ja sakte hain, jahan p aur q poorne numbers hote hain aur q shunya nahi hota. Jaise ki 3/4, 22/7 aadi.",Math,9
"Sir, what is biodiversity?",Biodiversity ek aisa vishay hai jismein hum dharti par maujood jeev-jantuon ki vividhata ke bare mein padhte hain. Ismein hum yeh jaante hain ki kaise hum jeev-jantuon ki raksha kar sakte hain.,Biology,12
"Ma'am, Newton ke teen laws kya hain?","Newton ke teen laws hain - first law (inertia), second law (force aur acceleration), aur third law (action aur reaction). Ye laws humein gati aur force ke baare mein samjhate hain.",Physics,11
"Sir, what is sedimentary rock?","Sedimentary rock ek aisa rock hai jo sediment ke jama hone se banta hai. Ye rocks pattharon ke tukdon, shell, aur anya samagriyon ke jama hone se bante hain.",Geography,10
"Ma'am, trigonometry kya hoti hai?",Trigonometry ek aisa vishay hai jismein hum tribhujon ke bare mein padhte hain. Ismein hum yeh jaante hain ki kaise hum tribhujon ke konon aur bhujaon ke bare mein ganana kar sakte hain.,Math,10
"Sir, what is ecosystem services?","Ecosystem services ek aisa vishay hai jismein hum ecosystem ke dwara pradaan kiye jaane wale upyogitaon ke bare mein padhte hain. Ismein hum yeh jaante hain ki kaise ecosystem humein oxygen, paani, aur anya upyogitaen pradaan karte hain.",Biology,12
"Ma'am, acid aur base kya hote hain?",Acid aur base ek aise rasayan hote hain jo apne pH ke aadhar par alag hote hain. Acid ka pH kam hota hai aur base ka pH adhik hota hai.,Chemistry,10
"Sir, what is map projection?",Map projection ek aisa tareeka hai jismein hum dharti ko ek plane par project karte hain. Ismein hum yeh jaante hain ki kaise hum dharti ko ek map par utaar sakte hain.,Geography,11
"Ma'am, statistics kya hoti hai?","Statistics ek aisa vishay hai jismein hum data ke bare mein padhte hain. Ismein hum yeh jaante hain ki kaise hum data ko ekatrit kar sakte hain, analys kar sakte hain, aur uske aadhar par nirnay le sakte hain.",Math,10
"Sir, what is gene expression?",Gene expression ek aisa prakriya hai jismein hum gene ke dwara pradaan kiye jaane wale nirdeshon ke bare mein padhte hain. Ismein hum yeh jaante hain ki kaise gene cell ko kya karna hai.,Biology,12
"Ma'am, what is economic system?",Economic system ek aisa vishay hai jismein hum dharti ke saath chalne wale arthik vyavasthaon ke bare mein padhte hain. Ismein hum yeh jaante hain ki kaise arthik vyavasthaen humein upyogitaen pradaan karti hain.,GK,11
